claim_id,image_name,nli_comparisons,entailment_count,contradiction_count,neutral_count,consistency_score,consistency_percent
documerica_0021.jpg_claim_12,documerica_0021.jpg,4,1,1,2,0.5,50.0
documerica_0063.jpg_claim_9,documerica_0063.jpg,1,0,0,1,,
documerica_0010.jpg_claim_0,documerica_0010.jpg,16,4,0,12,1.0,100.0
documerica_0055.jpg_claim_17,documerica_0055.jpg,4,0,0,4,,
documerica_0036.jpg_claim_7,documerica_0036.jpg,0,0,0,0,,
documerica_0064.jpg_claim_11,documerica_0064.jpg,4,1,0,3,1.0,100.0
documerica_0008.jpg_claim_13,documerica_0008.jpg,2,0,0,2,,
documerica_0077.jpg_claim_4,documerica_0077.jpg,1,1,0,0,1.0,100.0
documerica_0093.jpg_claim_7,documerica_0093.jpg,3,0,0,3,,
documerica_0042.jpg_claim_21,documerica_0042.jpg,5,1,0,4,1.0,100.0
documerica_0071.jpg_claim_22,documerica_0071.jpg,0,0,0,0,,
documerica_0082.jpg_claim_18,documerica_0082.jpg,3,1,0,2,1.0,100.0
documerica_0017.jpg_claim_16,documerica_0017.jpg,4,0,2,2,0.0,0.0
documerica_0051.jpg_claim_3,documerica_0051.jpg,12,2,2,8,0.5,50.0
documerica_0088.jpg_claim_19,documerica_0088.jpg,1,0,0,1,,
documerica_0054.jpg_claim_2,documerica_0054.jpg,20,14,0,6,1.0,100.0
documerica_0092.jpg_claim_10,documerica_0092.jpg,1,1,0,0,1.0,100.0
documerica_0036.jpg_claim_2,documerica_0036.jpg,3,2,0,1,1.0,100.0
documerica_0082.jpg_claim_15,documerica_0082.jpg,1,0,0,1,,
documerica_0089.jpg_claim_17,documerica_0089.jpg,0,0,0,0,,
documerica_0092.jpg_claim_18,documerica_0092.jpg,1,1,0,0,1.0,100.0
documerica_0024.jpg_claim_10,documerica_0024.jpg,0,0,0,0,,
documerica_0040.jpg_claim_21,documerica_0040.jpg,0,0,0,0,,
documerica_0038.jpg_claim_16,documerica_0038.jpg,1,0,0,1,,
documerica_0077.jpg_claim_9,documerica_0077.jpg,6,0,0,6,,
documerica_0076.jpg_claim_8,documerica_0076.jpg,32,10,2,20,0.8333333333333334,83.33333333333334
documerica_0087.jpg_claim_0,documerica_0087.jpg,21,4,0,17,1.0,100.0
documerica_0071.jpg_claim_3,documerica_0071.jpg,1,0,0,1,,
documerica_0096.jpg_claim_19,documerica_0096.jpg,2,0,0,2,,
documerica_0037.jpg_claim_18,documerica_0037.jpg,1,0,0,1,,
documerica_0040.jpg_claim_15,documerica_0040.jpg,0,0,0,0,,
documerica_0043.jpg_claim_16,documerica_0043.jpg,1,1,0,0,1.0,100.0
documerica_0009.jpg_claim_4,documerica_0009.jpg,2,1,0,1,1.0,100.0
documerica_0041.jpg_claim_23,documerica_0041.jpg,1,0,1,0,0.0,0.0
documerica_0026.jpg_claim_4,documerica_0026.jpg,0,0,0,0,,
documerica_0094.jpg_claim_1,documerica_0094.jpg,19,2,2,15,0.5,50.0
documerica_0036.jpg_claim_13,documerica_0036.jpg,2,1,0,1,1.0,100.0
documerica_0064.jpg_claim_15,documerica_0064.jpg,0,0,0,0,,
documerica_0050.jpg_claim_8,documerica_0050.jpg,6,2,0,4,1.0,100.0
documerica_0064.jpg_claim_9,documerica_0064.jpg,1,1,0,0,1.0,100.0
documerica_0007.jpg_claim_1,documerica_0007.jpg,9,1,0,8,1.0,100.0
documerica_0083.jpg_claim_7,documerica_0083.jpg,9,3,1,5,0.75,75.0
documerica_0092.jpg_claim_9,documerica_0092.jpg,4,0,1,3,0.0,0.0
documerica_0096.jpg_claim_16,documerica_0096.jpg,2,1,0,1,1.0,100.0
documerica_0019.jpg_claim_16,documerica_0019.jpg,0,0,0,0,,
documerica_0025.jpg_claim_5,documerica_0025.jpg,1,0,0,1,,
documerica_0086.jpg_claim_7,documerica_0086.jpg,5,1,0,4,1.0,100.0
documerica_0028.jpg_claim_0,documerica_0028.jpg,36,5,1,30,0.8333333333333334,83.33333333333334
documerica_0038.jpg_claim_17,documerica_0038.jpg,2,0,0,2,,
documerica_0045.jpg_claim_16,documerica_0045.jpg,4,1,2,1,0.3333333333333333,33.33333333333333
documerica_0013.jpg_claim_16,documerica_0013.jpg,2,0,1,1,0.0,0.0
documerica_0071.jpg_claim_4,documerica_0071.jpg,5,2,0,3,1.0,100.0
documerica_0011.jpg_claim_13,documerica_0011.jpg,4,1,0,3,1.0,100.0
documerica_0048.jpg_claim_10,documerica_0048.jpg,1,1,0,0,1.0,100.0
documerica_0094.jpg_claim_12,documerica_0094.jpg,3,0,1,2,0.0,0.0
documerica_0066.jpg_claim_5,documerica_0066.jpg,6,2,0,4,1.0,100.0
documerica_0089.jpg_claim_9,documerica_0089.jpg,2,0,2,0,0.0,0.0
documerica_0015.jpg_claim_17,documerica_0015.jpg,3,0,0,3,,
documerica_0023.jpg_claim_5,documerica_0023.jpg,1,1,0,0,1.0,100.0
documerica_0039.jpg_claim_7,documerica_0039.jpg,4,1,1,2,0.5,50.0
documerica_0063.jpg_claim_11,documerica_0063.jpg,1,0,0,1,,
documerica_0032.jpg_claim_10,documerica_0032.jpg,1,0,0,1,,
documerica_0030.jpg_claim_17,documerica_0030.jpg,0,0,0,0,,
documerica_0077.jpg_claim_14,documerica_0077.jpg,4,3,0,1,1.0,100.0
documerica_0034.jpg_claim_5,documerica_0034.jpg,11,3,0,8,1.0,100.0
documerica_0094.jpg_claim_10,documerica_0094.jpg,1,0,0,1,,
documerica_0057.jpg_claim_11,documerica_0057.jpg,3,0,0,3,,
documerica_0008.jpg_claim_7,documerica_0008.jpg,13,2,1,10,0.6666666666666666,66.66666666666666
documerica_0059.jpg_claim_0,documerica_0059.jpg,38,14,0,24,1.0,100.0
documerica_0034.jpg_claim_1,documerica_0034.jpg,19,7,1,11,0.875,87.5
documerica_0015.jpg_claim_15,documerica_0015.jpg,2,0,0,2,,
documerica_0088.jpg_claim_3,documerica_0088.jpg,6,4,0,2,1.0,100.0
documerica_0059.jpg_claim_12,documerica_0059.jpg,2,0,0,2,,
documerica_0069.jpg_claim_6,documerica_0069.jpg,16,7,0,9,1.0,100.0
documerica_0087.jpg_claim_3,documerica_0087.jpg,1,0,0,1,,
documerica_0041.jpg_claim_16,documerica_0041.jpg,1,0,1,0,0.0,0.0
documerica_0068.jpg_claim_5,documerica_0068.jpg,0,0,0,0,,
documerica_0024.jpg_claim_16,documerica_0024.jpg,2,0,0,2,,
documerica_0056.jpg_claim_6,documerica_0056.jpg,0,0,0,0,,
documerica_0045.jpg_claim_11,documerica_0045.jpg,2,2,0,0,1.0,100.0
documerica_0050.jpg_claim_4,documerica_0050.jpg,9,2,0,7,1.0,100.0
documerica_0061.jpg_claim_15,documerica_0061.jpg,0,0,0,0,,
documerica_0075.jpg_claim_16,documerica_0075.jpg,2,0,0,2,,
documerica_0014.jpg_claim_16,documerica_0014.jpg,3,0,1,2,0.0,0.0
documerica_0077.jpg_claim_20,documerica_0077.jpg,2,1,0,1,1.0,100.0
documerica_0006.jpg_claim_11,documerica_0006.jpg,4,0,0,4,,
documerica_0020.jpg_claim_14,documerica_0020.jpg,2,1,0,1,1.0,100.0
documerica_0071.jpg_claim_12,documerica_0071.jpg,0,0,0,0,,
documerica_0019.jpg_claim_3,documerica_0019.jpg,2,0,1,1,0.0,0.0
documerica_0073.jpg_claim_8,documerica_0073.jpg,4,3,0,1,1.0,100.0
documerica_0043.jpg_claim_15,documerica_0043.jpg,4,0,0,4,,
documerica_0014.jpg_claim_6,documerica_0014.jpg,4,2,0,2,1.0,100.0
documerica_0070.jpg_claim_8,documerica_0070.jpg,4,1,0,3,1.0,100.0
documerica_0023.jpg_claim_1,documerica_0023.jpg,2,0,1,1,0.0,0.0
documerica_0060.jpg_claim_3,documerica_0060.jpg,1,0,0,1,,
documerica_0050.jpg_claim_10,documerica_0050.jpg,6,2,0,4,1.0,100.0
documerica_0093.jpg_claim_0,documerica_0093.jpg,22,0,0,22,,
documerica_0084.jpg_claim_3,documerica_0084.jpg,3,1,0,2,1.0,100.0
documerica_0028.jpg_claim_13,documerica_0028.jpg,0,0,0,0,,
documerica_0080.jpg_claim_10,documerica_0080.jpg,20,3,0,17,1.0,100.0
documerica_0008.jpg_claim_4,documerica_0008.jpg,12,6,0,6,1.0,100.0
